Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Precision,Recall,F1 Score
1,0.47058823704719543,0.5,0.6915300488471985,0.645830512046814,0.0,0.0,0.0
2,0.5882353186607361,0.7222222089767456,0.6122211813926697,0.5743202567100525,0.6428571428571429,1.0,0.782608695652174
3,0.5441176295280457,0.8888888955116272,0.6288838386535645,0.5204383134841919,1.0,0.7777777777777778,0.875
4,0.8235294222831726,0.8888888955116272,0.4746909439563751,0.4591965079307556,1.0,0.7777777777777778,0.875
5,0.8823529481887817,0.8333333134651184,0.4211132526397705,0.4292319118976593,0.75,1.0,0.8571428571428571
6,0.8970588445663452,0.8333333134651184,0.36860665678977966,0.38022512197494507,1.0,0.6666666666666666,0.8
7,0.8382353186607361,0.8333333134651184,0.3501366674900055,0.34976091980934143,1.0,0.6666666666666666,0.8
8,0.970588207244873,0.9444444179534912,0.2643401622772217,0.24978075921535492,0.9,1.0,0.9473684210526315
9,0.8823529481887817,0.9444444179534912,0.2978115677833557,0.18826374411582947,0.9,1.0,0.9473684210526315
10,0.8970588445663452,0.8333333134651184,0.2210441529750824,0.3151766061782837,1.0,0.6666666666666666,0.8
11,0.9117646813392639,0.8888888955116272,0.24517738819122314,0.2299177348613739,1.0,0.7777777777777778,0.875
12,0.9117646813392639,0.9444444179534912,0.26720085740089417,0.13330237567424774,0.9,1.0,0.9473684210526315
13,0.970588207244873,1.0,0.15346892178058624,0.13096609711647034,1.0,1.0,1.0
14,0.9411764740943909,1.0,0.1506359875202179,0.15962433815002441,1.0,1.0,1.0
15,0.9411764740943909,1.0,0.15982547402381897,0.11349863559007645,1.0,1.0,1.0
16,0.9852941036224365,0.9444444179534912,0.12561076879501343,0.11608333140611649,0.9,1.0,0.9473684210526315
17,0.9411764740943909,0.9444444179534912,0.1317497193813324,0.10722801834344864,0.9,1.0,0.9473684210526315
18,0.9411764740943909,1.0,0.11842605471611023,0.13433298468589783,1.0,1.0,1.0
19,0.970588207244873,1.0,0.09640589356422424,0.14169396460056305,1.0,1.0,1.0
20,0.9558823704719543,1.0,0.10749048739671707,0.1022772416472435,1.0,1.0,1.0
21,0.9852941036224365,0.9444444179534912,0.09030960500240326,0.10652992129325867,0.9,1.0,0.9473684210526315
22,0.9411764740943909,0.9444444179534912,0.14459264278411865,0.0759391263127327,0.9,1.0,0.9473684210526315
23,0.9852941036224365,1.0,0.08261910825967789,0.09611063450574875,1.0,1.0,1.0
24,1.0,1.0,0.08701205998659134,0.08237132430076599,1.0,1.0,1.0
25,0.970588207244873,1.0,0.08101829886436462,0.06401918083429337,1.0,1.0,1.0
26,0.9852941036224365,1.0,0.07982350885868073,0.0571565106511116,1.0,1.0,1.0
27,0.9558823704719543,1.0,0.09398364275693893,0.050611481070518494,1.0,1.0,1.0
28,1.0,1.0,0.0437239408493042,0.058162614703178406,1.0,1.0,1.0
29,0.9852941036224365,0.9444444179534912,0.0824924111366272,0.08097945898771286,0.9,1.0,0.9473684210526315
30,0.9411764740943909,1.0,0.10723257809877396,0.060835354030132294,1.0,1.0,1.0
31,0.970588207244873,1.0,0.06291459500789642,0.0859074592590332,1.0,1.0,1.0
32,0.9558823704719543,0.9444444179534912,0.09470203518867493,0.08891063183546066,0.9,1.0,0.9473684210526315
