Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Precision,Recall,F1 Score
1,0.5219780206680298,0.6086956262588501,0.7204387784004211,0.6679364442825317,0.5609756097560976,1.0,0.71875
2,0.6428571343421936,0.54347825050354,0.6663937568664551,0.6203524470329285,0.75,0.13043478260869565,0.2222222222222222
3,0.6978021860122681,0.8260869383811951,0.6157532334327698,0.5392438769340515,0.7419354838709677,1.0,0.8518518518518519
4,0.7362637519836426,0.8478260636329651,0.5699642896652222,0.4557838439941406,0.7666666666666667,1.0,0.8679245283018868
5,0.8021978139877319,0.8260869383811951,0.48621562123298645,0.39188212156295776,0.7586206896551724,0.9565217391304348,0.8461538461538461
6,0.7747252583503723,0.8260869383811951,0.47680479288101196,0.4050526022911072,0.7419354838709677,1.0,0.8518518518518519
7,0.7692307829856873,0.8478260636329651,0.4924048185348511,0.35096275806427,0.7857142857142857,0.9565217391304348,0.8627450980392157
8,0.7857142686843872,0.8695651888847351,0.43924716114997864,0.33014050126075745,0.8148148148148148,0.9565217391304348,0.88
9,0.7967032790184021,0.8913043737411499,0.3925923705101013,0.29966217279434204,0.8461538461538461,0.9565217391304348,0.8979591836734694
10,0.7527472376823425,0.8260869383811951,0.4663255214691162,0.33821648359298706,0.7419354838709677,1.0,0.8518518518518519
11,0.7967032790184021,0.9130434989929199,0.4292777478694916,0.28806668519973755,0.88,0.9565217391304348,0.9166666666666666
12,0.8296703100204468,0.9130434989929199,0.39370837807655334,0.2747994363307953,0.8518518518518519,1.0,0.92
13,0.7857142686843872,0.8260869383811951,0.4190010130405426,0.3154250979423523,0.7419354838709677,1.0,0.8518518518518519
14,0.8296703100204468,0.9130434989929199,0.4259374737739563,0.27323201298713684,0.88,0.9565217391304348,0.9166666666666666
15,0.8571428656578064,0.9130434989929199,0.35577136278152466,0.2641313076019287,0.88,0.9565217391304348,0.9166666666666666
16,0.8131868243217468,0.9347826242446899,0.3567902743816376,0.25337111949920654,0.8846153846153846,1.0,0.9387755102040817
17,0.8846153616905212,0.9130434989929199,0.30882054567337036,0.26907259225845337,0.9130434782608695,0.9130434782608695,0.9130434782608695
18,0.8186812996864319,0.9347826242446899,0.34463369846343994,0.23207101225852966,0.8846153846153846,1.0,0.9387755102040817
19,0.8571428656578064,0.9130434989929199,0.3533181846141815,0.2347538322210312,0.9130434782608695,0.9130434782608695,0.9130434782608695
20,0.8736263513565063,0.9347826242446899,0.33522942662239075,0.21580210328102112,0.8846153846153846,1.0,0.9387755102040817
21,0.8791208863258362,0.9347826242446899,0.32284706830978394,0.2268303632736206,0.9166666666666666,0.9565217391304348,0.9361702127659575
22,0.8626373410224915,0.9130434989929199,0.36130499839782715,0.2265426218509674,0.8518518518518519,1.0,0.92
23,0.8351648449897766,0.8913043737411499,0.37947019934654236,0.29398420453071594,0.95,0.8260869565217391,0.8837209302325582
24,0.8351648449897766,0.9347826242446899,0.3588350713253021,0.22397612035274506,0.8846153846153846,1.0,0.9387755102040817
25,0.8241758346557617,0.9347826242446899,0.38579273223876953,0.23229682445526123,0.8846153846153846,1.0,0.9387755102040817
